year,nid,first_name,last_name,gender,job_title,employer,usable_name,ratio
2013,7497,Nicholas,Lemann,M,"dean, Graduate School of Journalism",Columbia University,Nicholas,100
2013,7533,Joyce,Dehli,F,vice president for news,Lee Enterprises,Joyce,99
2013,7632,Randell,Beck,M,retired president and publisher,Argus Leader Media,Randell,100
2013,7633,Keven Ann,Willey,M,vice president/editorial page editor,The Dallas Morning News,Keven,97
2013,7699,Eugene,Robinson,M,columnist and associate editor,The Washington Post,Eugene,99
2013,7700,Junot,Díaz,NA,author and Rudge and Nancy Allen Professor of Writing,Massachusetts Institute of Technology,Junot,
2013,7702,Robert,Blau,M,managing editor for projects and investigations,Bloomberg News,Robert,100
2013,7703,Steven,Hahn,M,Roy F. and Jeanette P. Nichols Professor of History,University of Pennsylvania,Steven,100
2013,7704,Paul,Tash,M,chairman and CEO,Tampa Bay Times,Paul,100
2013,7706,Steve,Coll,M,author and staff writer,The New Yorker,Steve,100
2013,7707,Stephen,Engelberg,M,editor-in-chief,ProPublica,Stephen,100
2013,7708,Aminda,Marqués Gonzalez,NA,vice president and executive editor,The Miami Herald,Aminda,
2013,7709,Quiara Alegría,Hudes,NA,playwright,,Quiara,
2013,7710,Sig,Gissler,M,"administrator, The Pulitzer Prizes",Columbia University,Sig,100
2013,13566,Gregory L.,Moore,M,editor,The Denver Post,Gregory,100
2013,13875,Thomas L.,Friedman,M,columnist,The New York Times,Thomas,100
2014,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
2014,7486,Danielle,Allen,F,"UPS Foundation Professor,  School of Social Science",Institute for Advanced Study,Danielle,99
2014,7492,Paul,Gigot,M,editorial page editor,The Wall Street Journal,Paul,100
2014,7533,Joyce,Dehli,F,vice president for news,Lee Enterprises,Joyce,99
2014,7632,Randell,Beck,M,retired president and publisher,Argus Leader Media,Randell,100
2014,7633,Keven Ann,Willey,M,vice president/editorial page editor,The Dallas Morning News,Keven,97
2014,7699,Eugene,Robinson,M,columnist and associate editor,The Washington Post,Eugene,99
2014,7700,Junot,Díaz,NA,author and Rudge and Nancy Allen Professor of Writing,Massachusetts Institute of Technology,Junot,
2014,7703,Steven,Hahn,M,Roy F. and Jeanette P. Nichols Professor of History,University of Pennsylvania,Steven,100
2014,7704,Paul,Tash,M,chairman and CEO,Tampa Bay Times,Paul,100
2014,7707,Stephen,Engelberg,M,editor-in-chief,ProPublica,Stephen,100
2014,7708,Aminda,Marqués Gonzalez,NA,vice president and executive editor,The Miami Herald,Aminda,
2014,7709,Quiara Alegría,Hudes,NA,playwright,,Quiara,
2014,7710,Sig,Gissler,M,"administrator, The Pulitzer Prizes",Columbia University,Sig,100
2014,7711,Steve,Coll,M,dean,"Graduate School of Journalism,  Columbia University",Steve,100
2014,7712,John,Daniszewski,M,vice president for international news,Associated Press,John,100
2014,7713,Robert,Blau,M,executive editor,Bloomberg News,Robert,100
2014,7714,Katherine,Boo,F,staff writer,The New Yorker,Katherine,100
2014,7715,Gail,Collins,F,op-ed columnist,The New York Times,Gail,96
2015,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
2015,7492,Paul,Gigot,M,editorial page editor,The Wall Street Journal,Paul,100
2015,7632,Randell,Beck,M,retired president and publisher,Argus Leader Media,Randell,100
2015,7633,Keven Ann,Willey,M,vice president/editorial page editor,The Dallas Morning News,Keven,97
2015,7699,Eugene,Robinson,M,columnist and associate editor,The Washington Post,Eugene,99
2015,7700,Junot,Díaz,NA,author and Rudge and Nancy Allen Professor of Writing,Massachusetts Institute of Technology,Junot,
2015,7703,Steven,Hahn,M,Roy F. and Jeanette P. Nichols Professor of History,University of Pennsylvania,Steven,100
2015,7707,Stephen,Engelberg,M,editor-in-chief,ProPublica,Stephen,100
2015,7708,Aminda,Marqués Gonzalez,NA,vice president and executive editor,The Miami Herald,Aminda,
2015,7709,Quiara Alegría,Hudes,NA,playwright,,Quiara,
2015,7711,Steve,Coll,M,dean,"Graduate School of Journalism,  Columbia University",Steve,100
2015,7712,John,Daniszewski,M,vice president for international news,Associated Press,John,100
2015,7713,Robert,Blau,M,executive editor,Bloomberg News,Robert,100
2015,7714,Katherine,Boo,F,staff writer,The New Yorker,Katherine,100
2015,7715,Gail,Collins,F,op-ed columnist,The New York Times,Gail,96
2015,7727,Mike,Pride,M,Administrator,The Pulitzer Prizes,Mike,100
2015,7728,Joyce,Dehli,F,former vice president for news,Lee Enterprises,Joyce,99
2015,13873,Danielle,Allen,F,"UPS Foundation Professor, School of Social Science",Institute for Advanced Studies,Danielle,99
